 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl.
 98.7s|     1 |     0 |214364 |     - |   404M |   0 |  34k|  26k|  74k|   0 |  0 |   0 |   0 | 1.980391e+03 |      --      |    Inf | unknown
L 236s|     1 |     0 |270429 |     - |undercov|   0 |  34k|  26k|  74k|   0 |  0 |   0 |   0 | 1.980391e+03 |-1.619877e+03 |    Inf | unknown
  275s|     1 |     0 |272657 |     - |   428M |   0 |  34k|  26k|  76k|2000 |  1 |   0 |   0 | 1.979075e+03 |-1.619877e+03 |    Inf | unknown
  277s|     1 |     0 |280498 |     - |   428M |   0 |  34k|  26k|  78k|4000 |  2 |   0 |   0 | 1.960392e+03 |-1.619877e+03 |    Inf | unknown
  278s|     1 |     0 |283523 |     - |   430M |   0 |  34k|  26k|  80k|6000 |  3 |   0 |   0 | 1.959780e+03 |-1.619877e+03 |    Inf | unknown
  280s|     1 |     0 |290697 |     - |   445M |   0 |  34k|  26k|  82k|8000 |  4 |   0 |   0 | 1.956871e+03 |-1.619877e+03 |    Inf | unknown
  282s|     1 |     0 |300314 |     - |   455M |   0 |  34k|  26k|  84k|  10k|  5 |   0 |   0 | 1.955654e+03 |-1.619877e+03 |    Inf | unknown
  285s|     1 |     0 |309530 |     - |   464M |   0 |  34k|  26k|  86k|  12k|  6 |   0 |   0 | 1.955016e+03 |-1.619877e+03 |    Inf | unknown
  287s|     1 |     0 |314724 |     - |   476M |   0 |  34k|  26k|  88k|  14k|  7 |   0 |   0 | 1.954846e+03 |-1.619877e+03 |    Inf | unknown
  289s|     1 |     0 |321423 |     - |   486M |   0 |  34k|  26k|  90k|  15k|  8 |   0 |   0 | 1.954655e+03 |-1.619877e+03 |    Inf | unknown
  291s|     1 |     0 |325384 |     - |   498M |   0 |  34k|  26k|  91k|  17k|  9 |   0 |   0 | 1.954606e+03 |-1.619877e+03 |    Inf | unknown
  293s|     1 |     0 |329508 |     - |   508M |   0 |  34k|  26k|  92k|  18k| 10 |   0 |   0 | 1.954569e+03 |-1.619877e+03 |    Inf | unknown
  295s|     1 |     0 |333311 |     - |   518M |   0 |  34k|  26k|  49k|  18k| 11 |   0 |   0 | 1.954530e+03 |-1.619877e+03 |    Inf | unknown
  297s|     1 |     0 |337075 |     - |   525M |   0 |  34k|  26k|  50k|  19k| 12 |   0 |   0 | 1.954457e+03 |-1.619877e+03 |    Inf | unknown
  299s|     1 |     0 |340140 |     - |   529M |   0 |  34k|  26k|  51k|  20k| 13 |   0 |   0 | 1.954433e+03 |-1.619877e+03 |    Inf | unknown
  301s|     1 |     0 |345664 |     - |   534M |   0 |  34k|  26k|  52k|  21k| 14 |   0 |   0 | 1.954382e+03 |-1.619877e+03 |    Inf | unknown
  304s|     1 |     0 |350106 |     - |   539M |   0 |  34k|  26k|  53k|  22k| 15 |   0 |   0 | 1.954359e+03 |-1.619877e+03 |    Inf | unknown
  308s|     1 |     0 |355552 |     - |   545M |   0 |  34k|  26k|  43k|  23k| 16 |   0 |   0 | 1.954343e+03 |-1.619877e+03 |    Inf | unknown
  311s|     1 |     0 |359153 |     - |   549M |   0 |  34k|  26k|  44k|  23k| 17 |   0 |   0 | 1.954336e+03 |-1.619877e+03 |    Inf | unknown
  314s|     1 |     0 |361797 |     - |   554M |   0 |  34k|  26k|  45k|  24k| 18 |   0 |   0 | 1.954332e+03 |-1.619877e+03 |    Inf | unknown
  572s|     1 |     2 |512142 |     - |   566M |   0 |  34k|  26k|  45k|  24k| 18 |   0 |  37 | 1.954327e+03 |-1.619877e+03 |    Inf | unknown
  909s|   100 |    99 |682632 |4685.8 |   580M |  41 |  34k|  26k|  34k|  46k|  2 |   7 | 493 | 1.954327e+03 |-1.619877e+03 |    Inf | unknown
L 991s|   101 |   100 |683189 |4644.5 |    gins|  41 |  34k|  26k|  34k|  46k|  2 |   7 | 493 | 1.954327e+03 |-5.114396e+02 |    Inf | unknown
 1412s|   200 |   195 |  1084k|4350.7 |   620M |  53 |  34k|  26k|  34k|  70k|  2 |  18 | 563 | 1.954327e+03 |-5.114396e+02 |    Inf | unknown
L1493s|   201 |   196 |  1085k|4332.2 |    gins|  53 |  34k|  26k|  34k|  70k|  2 |  18 | 563 | 1.954327e+03 |-4.821105e+02 |    Inf | unknown
 1634s|   300 |   295 |  1195k|3267.3 |   626M |  53 |  34k|  26k|  35k|  94k|  2 |  21 | 652 | 1.954327e+03 |-4.821105e+02 |    Inf | unknown
 1929s|   400 |   395 |  1375k|2898.8 |   644M |  65 |  34k|  26k|  35k| 121k|  2 |  23 | 818 | 1.953873e+03 |-4.821105e+02 |    Inf | unknown
L2312s|   401 |   396 |  1375k|2892.2 |    rins|  65 |  34k|  26k|  35k| 121k|  2 |  23 | 818 | 1.953873e+03 |-5.843351e+01 |    Inf | unknown
 2453s|   500 |   495 |  1476k|2521.4 |   656M |  65 |  34k|  26k|  37k| 150k|  2 |  26 | 890 | 1.953873e+03 |-5.843351e+01 |    Inf | unknown
 2562s|   600 |   595 |  1561k|2241.1 |   760M |  69 |  34k|  26k|  35k| 176k|  2 |  28 | 903 | 1.953711e+03 |-5.843351e+01 |    Inf | unknown
