 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 25.4s|     1 |     0 | 85061 |     - |   203M |   0 |  17k|  13k|  37k|   0 |  0 |   0 |   0 | 1.019432e+03 |      --      |    Inf | unknown
L66.6s|     1 |     0 |114961 |     - |undercov|   0 |  17k|  13k|  37k|   0 |  0 |   0 |   0 | 1.019432e+03 |-5.369553e+02 |    Inf | unknown
o86.5s|     1 |     0 |114961 |     - |feaspump|   0 |  17k|  13k|  37k|   0 |  0 |   0 |   0 | 1.019432e+03 | 1.476325e+02 | 590.52%| unknown
 86.9s|     1 |     0 |117216 |     - |   222M |   0 |  17k|  13k|  39k|2000 |  1 |   0 |   0 | 1.017970e+03 | 1.476325e+02 | 589.53%| unknown
 87.5s|     1 |     0 |120924 |     - |   227M |   0 |  17k|  13k|  41k|3699 |  2 |   0 |   0 | 1.009597e+03 | 1.476325e+02 | 583.86%| unknown
 88.0s|     1 |     0 |122943 |     - |   232M |   0 |  17k|  13k|  42k|5300 |  3 |   0 |   0 | 1.009284e+03 | 1.476325e+02 | 583.65%| unknown
 88.6s|     1 |     0 |126121 |     - |   238M |   0 |  17k|  13k|  43k|6571 |  4 |   0 |   0 | 1.007749e+03 | 1.476325e+02 | 582.61%| unknown
 89.3s|     1 |     0 |128373 |     - |   245M |   0 |  17k|  13k|  45k|7916 |  5 |   0 |   0 | 1.007573e+03 | 1.476325e+02 | 582.49%| unknown
 90.0s|     1 |     0 |131878 |     - |   251M |   0 |  17k|  13k|  46k|9112 |  6 |   0 |   0 | 1.007333e+03 | 1.476325e+02 | 582.32%| unknown
 90.9s|     1 |     0 |134826 |     - |   258M |   0 |  17k|  13k|  47k|  10k|  7 |   0 |   0 | 1.007231e+03 | 1.476325e+02 | 582.26%| unknown
 91.8s|     1 |     0 |138621 |     - |   264M |   0 |  17k|  13k|  48k|  11k|  8 |   0 |   0 | 1.007116e+03 | 1.476325e+02 | 582.18%| unknown
 92.7s|     1 |     0 |141836 |     - |   269M |   0 |  17k|  13k|  49k|  12k|  9 |   0 |   0 | 1.007062e+03 | 1.476325e+02 | 582.14%| unknown
 93.7s|     1 |     0 |144222 |     - |   275M |   0 |  17k|  13k|  28k|  12k| 10 |   0 |   0 | 1.007034e+03 | 1.476325e+02 | 582.12%| unknown
 94.8s|     1 |     0 |146603 |     - |   277M |   0 |  17k|  13k|  29k|  13k| 11 |   0 |   0 | 1.007006e+03 | 1.476325e+02 | 582.10%| unknown
 95.5s|     1 |     0 |148162 |     - |   281M |   0 |  17k|  13k|  30k|  14k| 12 |   0 |   0 | 1.006997e+03 | 1.476325e+02 | 582.10%| unknown
 96.0s|     1 |     0 |149104 |     - |   284M |   0 |  17k|  13k|  30k|  14k| 13 |   0 |   0 | 1.006994e+03 | 1.476325e+02 | 582.09%| unknown
 96.4s|     1 |     0 |149804 |     - |   287M |   0 |  17k|  13k|  31k|  15k| 14 |   0 |   0 | 1.006993e+03 | 1.476325e+02 | 582.09%| unknown
 96.8s|     1 |     0 |150226 |     - |   291M |   0 |  17k|  13k|  31k|  15k| 15 |   0 |   0 | 1.006993e+03 | 1.476325e+02 | 582.09%| unknown
 98.7s|     1 |     0 |154304 |     - |   294M |   0 |  17k|  13k|  23k|  15k| 16 |   0 |   0 | 1.006989e+03 | 1.476325e+02 | 582.09%| unknown
 99.3s|     1 |     0 |155551 |     - |   296M |   0 |  17k|  13k|  23k|  16k| 17 |   0 |   0 | 1.006987e+03 | 1.476325e+02 | 582.09%| unknown
 99.9s|     1 |     0 |156651 |     - |   299M |   0 |  17k|  13k|  24k|  16k| 18 |   0 |   0 | 1.006987e+03 | 1.476325e+02 | 582.09%| unknown
  100s|     1 |     0 |157283 |     - |   301M |   0 |  17k|  13k|  24k|  16k| 19 |   0 |   0 | 1.006986e+03 | 1.476325e+02 | 582.09%| unknown
  101s|     1 |     0 |158233 |     - |   303M |   0 |  17k|  13k|  24k|  16k| 20 |   0 |   0 | 1.006985e+03 | 1.476325e+02 | 582.09%| unknown
  107s|     1 |     0 |169323 |     - |   304M |   0 |  17k|  13k|  24k|  16k| 21 |   0 |   0 | 1.006985e+03 | 1.476325e+02 | 582.09%| unknown
  208s|     1 |     2 |314772 |     - |   311M |   0 |  17k|  13k|  24k|  16k| 21 |   0 |  19 | 1.006985e+03 | 1.476325e+02 | 582.09%| unknown
  418s|   100 |   101 |576388 |4659.3 |   323M |  37 |  17k|  13k|  19k|  73k|  4 |   0 | 530 | 1.006985e+03 | 1.476325e+02 | 582.09%| unknown
L 473s|   101 |   102 |577458 |4623.4 |    gins|  37 |  17k|  13k|  19k|  74k|  4 |   0 | 530 | 1.006985e+03 | 2.457403e+02 | 309.78%| unknown
  590s|   200 |   201 |768608 |3283.8 |   343M |  37 |  17k|  13k|  19k| 116k| 11 |   7 | 569 | 1.006530e+03 | 2.457403e+02 | 309.59%| unknown
L 671s|   201 |   202 |772234 |3285.6 |    gins|  37 |  17k|  13k|  19k| 118k| 24 |   7 | 569 | 1.006530e+03 | 2.740399e+02 | 267.29%| unknown
  824s|   300 |   301 |  1012k|3002.6 |   415M |  37 |  17k|  13k|  18k| 171k|  2 |   7 | 635 | 1.004030e+03 | 2.740399e+02 | 266.38%| unknown
L 868s|   301 |   302 |  1013k|2994.4 |    gins|  37 |  17k|  13k|  18k| 171k|  2 |   7 | 635 | 1.004030e+03 | 4.021924e+02 | 149.64%| unknown
  934s|   400 |   399 |  1150k|2595.0 |   430M |  37 |  17k|  13k|  22k| 217k|  4 |  10 | 717 | 1.003772e+03 | 4.021924e+02 | 149.58%| unknown
 1048s|   500 |   499 |  1482k|2740.6 |   447M |  39 |  17k|  13k|  21k| 277k| 24 |  12 | 745 | 1.003772e+03 | 4.021924e+02 | 149.58%| unknown
 1496s|   600 |   599 |  1687k|2625.1 |   524M |  39 |  17k|  13k|  19k| 327k|  2 |  15 | 820 | 1.003681e+03 | 4.021924e+02 | 149.55%| unknown
 1656s|   700 |   699 |  2079k|2810.6 |   548M |  39 |  17k|  13k|  24k| 387k|  3 |  19 | 936 | 1.003681e+03 | 4.021924e+02 | 149.55%| unknown
 1767s|   800 |   799 |  2403k|2863.5 |   617M |  39 |  17k|  13k|  18k| 447k| 21 |  24 | 983 | 1.003602e+03 | 4.021924e+02 | 149.53%| unknown
 1885s|   900 |   897 |  2652k|2822.3 |   630M |  39 |  17k|  13k|  23k| 495k|  3 |  27 |1048 | 1.003602e+03 | 4.021924e+02 | 149.53%| unknown
 2084s|  1000 |   997 |  3010k|2898.5 |   659M |  51 |  17k|  13k|  19k| 550k|  2 |  30 |1121 | 1.003602e+03 | 4.021924e+02 | 149.53%| unknown
 2254s|  1100 |  1095 |  3335k|2930.4 |   745M |  51 |  17k|  13k|  21k| 597k|  3 |  34 |1141 | 1.003602e+03 | 4.021924e+02 | 149.53%| unknown
 2359s|  1200 |  1193 |  3615k|2919.2 |   810M |  51 |  17k|  13k|  19k| 639k|  2 |  40 |1151 | 1.003600e+03 | 4.021924e+02 | 149.53%| unknown
