time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 91.4s|     1 |     0 |151740 |     - |   396M |   0 |  33k|  26k|  73k|   0 |  0 |   0 |   0 | 1.700468e+03 |      --      |    Inf | unknown
o 211s|     1 |     0 |210233 |     - |feaspump|   0 |  33k|  26k|  73k|   0 |  0 |   0 |   0 | 1.700468e+03 | 7.285219e+02 | 133.41%| unknown
  214s|     1 |     0 |219871 |     - |   423M |   0 |  33k|  26k|  75k|2000 |  1 |   0 |   0 | 1.689916e+03 | 7.285219e+02 | 131.97%| unknown
  216s|     1 |     0 |225307 |     - |   424M |   0 |  33k|  26k|  77k|4000 |  2 |   0 |   0 | 1.686468e+03 | 7.285219e+02 | 131.49%| unknown
  217s|     1 |     0 |228648 |     - |   425M |   0 |  33k|  26k|  79k|6000 |  3 |   0 |   0 | 1.685546e+03 | 7.285219e+02 | 131.37%| unknown
  235s|     1 |     0 |249044 |     - |   442M |   0 |  33k|  26k|  81k|8000 |  4 |   0 |   0 | 1.513138e+03 | 7.285219e+02 | 107.70%| unknown
  242s|     1 |     0 |259761 |     - |   444M |   0 |  33k|  26k|  83k|  10k|  5 |   0 |   0 | 1.494209e+03 | 7.285219e+02 | 105.10%| unknown
  243s|     1 |     0 |263998 |     - |   446M |   0 |  33k|  26k|  85k|  12k|  6 |   0 |   0 | 1.490182e+03 | 7.285219e+02 | 104.55%| unknown
  244s|     1 |     0 |268522 |     - |   449M |   0 |  33k|  26k|  87k|  14k|  7 |   0 |   0 | 1.488851e+03 | 7.285219e+02 | 104.37%| unknown
  254s|     1 |     0 |283107 |     - |   450M |   0 |  33k|  26k|  89k|  16k|  8 |   0 |   0 | 1.458119e+03 | 7.285219e+02 | 100.15%| unknown
  262s|     1 |     0 |294949 |     - |   452M |   0 |  33k|  26k|  91k|  18k|  9 |   0 |   0 | 1.456633e+03 | 7.285219e+02 |  99.94%| unknown
  265s|     1 |     0 |304070 |     - |   452M |   0 |  33k|  26k|  93k|  20k| 10 |   0 |   0 | 1.452689e+03 | 7.285219e+02 |  99.40%| unknown
  267s|     1 |     0 |308767 |     - |   463M |   0 |  33k|  26k|  95k|  21k| 11 |   0 |   0 | 1.452434e+03 | 7.285219e+02 |  99.37%| unknown
  268s|     1 |     0 |311575 |     - |   473M |   0 |  33k|  26k|  96k|  23k| 12 |   0 |   0 | 1.452344e+03 | 7.285219e+02 |  99.35%| unknown
  268s|     1 |     0 |312649 |     - |   474M |   0 |  33k|  26k|  97k|  23k| 13 |   0 |   0 | 1.452336e+03 | 7.285219e+02 |  99.35%| unknown
  269s|     1 |     0 |313927 |     - |   484M |   0 |  33k|  26k|  98k|  24k| 14 |   0 |   0 | 1.452322e+03 | 7.285219e+02 |  99.35%| unknown
