 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 32.4s|     1 |     0 | 62316 |     - |   204M |   0 |  16k|  12k|  36k|   0 |  0 |   2 |   0 | 8.757779e+02 |      --      |    Inf | unknown
o62.5s|     1 |     0 |102657 |     - |feaspump|   0 |  16k|  12k|  36k|   0 |  0 |   2 |   0 | 8.757779e+02 | 4.836012e+02 |  81.10%| unknown
 63.7s|     1 |     0 |106482 |     - |   224M |   0 |  16k|  12k|  38k|2000 |  1 |   2 |   0 | 8.606308e+02 | 4.836012e+02 |  77.96%| unknown
 70.0s|     1 |     0 |119864 |     - |   229M |   0 |  16k|  12k|  40k|3899 |  2 |   2 |   0 | 8.313965e+02 | 4.836012e+02 |  71.92%| unknown
 75.1s|     1 |     0 |131459 |     - |   236M |   0 |  16k|  12k|  42k|5841 |  3 |   2 |   0 | 8.285028e+02 | 4.836012e+02 |  71.32%| unknown
 80.0s|     1 |     0 |142333 |     - |   240M |   0 |  16k|  12k|  44k|7734 |  4 |   2 |   0 | 8.276527e+02 | 4.836012e+02 |  71.14%| unknown
 82.8s|     1 |     0 |150099 |     - |   246M |   0 |  16k|  12k|  46k|9511 |  5 |   2 |   0 | 8.262934e+02 | 4.836012e+02 |  70.86%| unknown
 88.3s|     1 |     0 |160918 |     - |   251M |   0 |  16k|  12k|  47k|  10k|  6 |   2 |   0 | 8.209599e+02 | 4.836012e+02 |  69.76%| unknown
 89.7s|     1 |     0 |164649 |     - |   257M |   0 |  16k|  12k|  48k|  12k|  7 |   2 |   0 | 8.208025e+02 | 4.836012e+02 |  69.73%| unknown
 91.1s|     1 |     0 |167830 |     - |   262M |   0 |  16k|  12k|  50k|  13k|  8 |   2 |   0 | 8.206435e+02 | 4.836012e+02 |  69.69%| unknown
 93.9s|     1 |     0 |173498 |     - |   269M |   0 |  16k|  12k|  50k|  14k|  9 |   2 |   0 | 8.204639e+02 | 4.836012e+02 |  69.66%| unknown
 94.3s|     1 |     0 |174055 |     - |   275M |   0 |  16k|  12k|  51k|  14k| 10 |   2 |   0 | 8.204629e+02 | 4.836012e+02 |  69.66%| unknown
 94.6s|     1 |     0 |174403 |     - |   281M |   0 |  16k|  12k|  51k|  14k| 11 |   2 |   0 | 8.204625e+02 | 4.836012e+02 |  69.66%| unknown
 94.8s|     1 |     0 |174543 |     - |   287M |   0 |  16k|  12k|  51k|  15k| 12 |   2 |   0 | 8.204624e+02 | 4.836012e+02 |  69.66%| unknown
